project,topic,difficulty,estimated_hours,tags,description,url
Scientific Abstract Tagger,transformers,intermediate,16,"bert,multi-label,huggingface",Build a scientific abstract tagger to practice transformers at the intermediate level.,https://github.com/search?q=Scientific+Abstract+Tagger+transformers&type=repositories
Social Media Toxicity Detector,transformers,intermediate,14,"bert,fine-tuning,text-classification",Build a social media toxicity detector to practice transformers at the intermediate level.,https://github.com/search?q=Social+Media+Toxicity+Detector+transformers&type=repositories
Job Description Matcher,transformers,intermediate,14,"bert,faiss,semantic-search",Build a job description matcher to practice transformers at the intermediate level.,https://github.com/search?q=Job+Description+Matcher+transformers&type=repositories
Dialogue Act Classifier,transformers,intermediate,16,"bert,huggingface,dialogue",Build a dialogue act classifier to practice transformers at the intermediate level.,https://github.com/search?q=Dialogue+Act+Classifier+transformers&type=repositories
Automated Model Retrainer,mlops,advanced,22,"mlflow,airflow,sklearn",Build an automated model retrainer to practice mlops at the advanced level.,https://github.com/search?q=Automated+Model+Retrainer+mlops&type=repositories
Feature Store Builder,mlops,advanced,24,"feast,redis,airflow",Build a feature store builder to practice mlops at the advanced level.,https://github.com/search?q=Feature+Store+Builder+mlops&type=repositories
Model Drift Detector,mlops,intermediate,16,"evidently,mlflow,sklearn",Build a model drift detector to practice mlops at the intermediate level.,https://github.com/search?q=Model+Drift+Detector+mlops&type=repositories
CI/CD ML Pipeline,mlops,intermediate,18,"github-actions,docker,sklearn",Build a ci/cd ml pipeline to practice mlops at the intermediate level.,https://github.com/search?q=CI+CD+ML+Pipeline+mlops&type=repositories
Model Registry System,mlops,intermediate,16,"mlflow,fastapi,docker",Build a model registry system to practice mlops at the intermediate level.,https://github.com/search?q=Model+Registry+System+mlops&type=repositories
Data Quality Monitor,mlops,intermediate,14,"great-expectations,pandas,airflow",Build a data quality monitor to practice mlops at the intermediate level.,https://github.com/search?q=Data+Quality+Monitor+mlops&type=repositories
Multi-Model AB Testing Framework,mlops,advanced,22,"fastapi,mlflow,scipy",Build a multi-model ab testing framework to practice mlops at the advanced level.,https://github.com/search?q=Multi-Model+AB+Testing+mlops&type=repositories
Real-Time Inference API,mlops,intermediate,16,"fastapi,docker,redis",Build a real-time inference api to practice mlops at the intermediate level.,https://github.com/search?q=Real-Time+Inference+API+mlops&type=repositories
Canary Deployment for ML,mlops,advanced,22,"kubernetes,istio,mlflow",Build a canary deployment for ml to practice mlops at the advanced level.,https://github.com/search?q=Canary+Deployment+ML+mlops&type=repositories
Shadow Deployment Framework,mlops,advanced,24,"fastapi,docker,mlflow",Build a shadow deployment framework to practice mlops at the advanced level.,https://github.com/search?q=Shadow+Deployment+Framework+mlops&type=repositories
Time-Based Feature Builder,feature engineering,beginner,7,"pandas,sklearn,numpy",Build a time-based feature builder to practice feature engineering at the beginner level.,https://github.com/search?q=Time-Based+Feature+Builder+feature+engineering&type=repositories
Geospatial Feature Extractor,feature engineering,intermediate,14,"geopandas,shapely,sklearn",Build a geospatial feature extractor to practice feature engineering at the intermediate level.,https://github.com/search?q=Geospatial+Feature+Extractor+feature+engineering&type=repositories
Text Embedding Pipeline,feature engineering,intermediate,12,"huggingface,faiss,sklearn",Build a text embedding pipeline to practice feature engineering at the intermediate level.,https://github.com/search?q=Text+Embedding+Pipeline+feature+engineering&type=repositories
Interaction Feature Generator,feature engineering,beginner,8,"pandas,sklearn,numpy",Build an interaction feature generator to practice feature engineering at the beginner level.,https://github.com/search?q=Interaction+Feature+Generator+feature+engineering&type=repositories
Cyclical Encoding Toolkit,feature engineering,beginner,6,"pandas,numpy,sklearn",Build a cyclical encoding toolkit to practice feature engineering at the beginner level.,https://github.com/search?q=Cyclical+Encoding+Toolkit+feature+engineering&type=repositories
Target Encoding Framework,feature engineering,intermediate,10,"category-encoders,sklearn,pandas",Build a target encoding framework to practice feature engineering at the intermediate level.,https://github.com/search?q=Target+Encoding+Framework+feature+engineering&type=repositories
Missing Value Imputer,feature engineering,beginner,6,"sklearn,pandas,missingno",Build a missing value imputer to practice feature engineering at the beginner level.,https://github.com/search?q=Missing+Value+Imputer+feature+engineering&type=repositories
Signal Feature Extractor,feature engineering,advanced,18,"tsfresh,scipy,pandas",Build a signal feature extractor to practice feature engineering at the advanced level.,https://github.com/search?q=Signal+Feature+Extractor+feature+engineering&type=repositories
Window-Based Feature Calculator,feature engineering,intermediate,12,"pandas,numpy,sklearn",Build a window-based feature calculator to practice feature engineering at the intermediate level.,https://github.com/search?q=Window+Based+Feature+Calculator+feature+engineering&type=repositories
Categorical Feature Encoder,feature engineering,beginner,7,"category-encoders,sklearn,pandas",Build a categorical feature encoder to practice feature engineering at the beginner level.,https://github.com/search?q=Categorical+Feature+Encoder+feature+engineering&type=repositories
Clinical Trial Analyser,statistics,intermediate,14,"scipy,statsmodels,pandas",Build a clinical trial analyser to practice statistics at the intermediate level.,https://github.com/search?q=Clinical+Trial+Analyser+statistics&type=repositories
Market Basket Analysis,statistics,beginner,6,"mlxtend,pandas,apriori",Build a market basket analysis tool to practice statistics at the beginner level.,https://github.com/search?q=Market+Basket+Analysis+statistics&type=repositories
Survival Analysis Model,statistics,intermediate,14,"lifelines,scipy,matplotlib",Build a survival analysis model to practice statistics at the intermediate level.,https://github.com/search?q=Survival+Analysis+Model+statistics&type=repositories
Power Analysis Calculator,statistics,beginner,6,"scipy,statsmodels,matplotlib",Build a power analysis calculator to practice statistics at the beginner level.,https://github.com/search?q=Power+Analysis+Calculator+statistics&type=repositories
Propensity Score Matching,statistics,advanced,18,"causalinference,scipy,pandas",Build a propensity score matching tool to practice statistics at the advanced level.,https://github.com/search?q=Propensity+Score+Matching+statistics&type=repositories
Bootstrapped Confidence Interval Tool,statistics,beginner,6,"scipy,numpy,matplotlib",Build a bootstrapped confidence interval tool to practice statistics at the beginner level.,https://github.com/search?q=Bootstrap+Confidence+Interval+statistics&type=repositories
Time-to-Event Analyser,statistics,intermediate,12,"lifelines,scipy,matplotlib",Build a time-to-event analyser to practice statistics at the intermediate level.,https://github.com/search?q=Time-to-Event+Analyser+statistics&type=repositories
Multi-Armed Bandit Simulator,statistics,intermediate,14,"scipy,numpy,matplotlib",Build a multi-armed bandit simulator to practice statistics at the intermediate level.,https://github.com/search?q=Multi-Armed+Bandit+Simulator+statistics&type=repositories
Causal Inference Study,statistics,advanced,20,"dowhy,causalinference,statsmodels",Build a causal inference study to practice statistics at the advanced level.,https://github.com/search?q=Causal+Inference+Study+statistics&type=repositories
Regression Discontinuity Design,statistics,advanced,18,"statsmodels,scipy,pandas",Build a regression discontinuity design tool to practice statistics at the advanced level.,https://github.com/search?q=Regression+Discontinuity+Design+statistics&type=repositories
Lunar Lander Agent,reinforcement learning,intermediate,16,"openai-gym,dqn,pytorch",Build a lunar lander agent to practice reinforcement learning at the intermediate level.,https://github.com/search?q=Lunar+Lander+Agent+reinforcement+learning&type=repositories
Trading Strategy Learner,reinforcement learning,advanced,24,"stable-baselines3,gym,pytorch",Build a trading strategy learner to practice reinforcement learning at the advanced level.,https://github.com/search?q=Trading+Strategy+Learner+reinforcement+learning&type=repositories
Robot Arm Controller,reinforcement learning,advanced,26,"pybullet,stable-baselines3,pytorch",Build a robot arm controller to practice reinforcement learning at the advanced level.,https://github.com/search?q=Robot+Arm+Controller+reinforcement+learning&type=repositories
Maze Solver Agent,reinforcement learning,beginner,10,"openai-gym,q-learning,numpy",Build a maze solver agent to practice reinforcement learning at the beginner level.,https://github.com/search?q=Maze+Solver+Agent+reinforcement+learning&type=repositories
Resource Allocation Agent,reinforcement learning,intermediate,18,"stable-baselines3,gym,pytorch",Build a resource allocation agent to practice reinforcement learning at the intermediate level.,https://github.com/search?q=Resource+Allocation+Agent+reinforcement+learning&type=repositories
Traffic Signal Optimizer,reinforcement learning,advanced,22,"sumo,stable-baselines3,pytorch",Build a traffic signal optimizer to practice reinforcement learning at the advanced level.,https://github.com/search?q=Traffic+Signal+Optimizer+reinforcement+learning&type=repositories
Portfolio Manager RL,reinforcement learning,advanced,24,"stable-baselines3,gym,finance",Build a portfolio manager using reinforcement learning to practice reinforcement learning at the advanced level.,https://github.com/search?q=Portfolio+Manager+Reinforcement+Learning&type=repositories
Inventory Restocking Agent,reinforcement learning,intermediate,18,"gym,stable-baselines3,pytorch",Build an inventory restocking agent to practice reinforcement learning at the intermediate level.,https://github.com/search?q=Inventory+Restocking+Agent+reinforcement+learning&type=repositories
Energy Grid Optimizer,reinforcement learning,advanced,26,"stable-baselines3,gym,pytorch",Build an energy grid optimizer to practice reinforcement learning at the advanced level.,https://github.com/search?q=Energy+Grid+Optimizer+reinforcement+learning&type=repositories
Text Adventure Agent,reinforcement learning,intermediate,16,"gym,pytorch,nlp",Build a text adventure agent to practice reinforcement learning at the intermediate level.,https://github.com/search?q=Text+Adventure+Agent+reinforcement+learning&type=repositories
Log Aggregation Pipeline,big data,intermediate,14,"pyspark,kafka,elasticsearch",Build a log aggregation pipeline to practice big data at the intermediate level.,https://github.com/search?q=Log+Aggregation+Pipeline+big+data&type=repositories
Clickstream Processor,big data,intermediate,16,"pyspark,kafka,delta-lake",Build a clickstream processor to practice big data at the intermediate level.,https://github.com/search?q=Clickstream+Processor+big+data&type=repositories
Genomics Data Pipeline,big data,advanced,26,"pyspark,hadoop,bioinformatics",Build a genomics data pipeline to practice big data at the advanced level.,https://github.com/search?q=Genomics+Data+Pipeline+big+data&type=repositories
Social Graph Analyser,big data,advanced,22,"pyspark,graphframes,networkx",Build a social graph analyser to practice big data at the advanced level.,https://github.com/search?q=Social+Graph+Analyser+big+data&type=repositories
Satellite Image Batch Processor,big data,advanced,24,"pyspark,opencv,gdal",Build a satellite image batch processor to practice big data at the advanced level.,https://github.com/search?q=Satellite+Image+Batch+Processor+big+data&type=repositories
Financial Transaction Aggregator,big data,intermediate,16,"pyspark,kafka,delta-lake",Build a financial transaction aggregator to practice big data at the intermediate level.,https://github.com/search?q=Financial+Transaction+Aggregator+big+data&type=repositories
Distributed Web Scraper,big data,intermediate,14,"scrapy,pyspark,celery",Build a distributed web scraper to practice big data at the intermediate level.,https://github.com/search?q=Distributed+Web+Scraper+big+data&type=repositories
Data Lake ETL Pipeline,big data,intermediate,16,"pyspark,delta-lake,airflow",Build a data lake etl pipeline to practice big data at the intermediate level.,https://github.com/search?q=Data+Lake+ETL+Pipeline+big+data&type=repositories
Ad Impression Analyser,big data,advanced,22,"pyspark,kafka,clickhouse",Build an ad impression analyser to practice big data at the advanced level.,https://github.com/search?q=Ad+Impression+Analyser+big+data&type=repositories
IoT Device Stream Processor,big data,advanced,24,"kafka,flink,pyspark",Build an iot device stream processor to practice big data at the advanced level.,https://github.com/search?q=IoT+Device+Stream+Processor+big+data&type=repositories
Web Scraping Framework,python programming,beginner,8,"scrapy,requests,beautifulsoup",Build a web scraping framework to practice python programming at the beginner level.,https://github.com/search?q=Web+Scraping+Framework+python&type=repositories
CLI Data Tool,python programming,beginner,6,"click,argparse,pandas",Build a cli data tool to practice python programming at the beginner level.,https://github.com/search?q=CLI+Data+Tool+python+programming&type=repositories
Async API Client,python programming,intermediate,10,"asyncio,httpx,pydantic",Build an async api client to practice python programming at the intermediate level.,https://github.com/search?q=Async+API+Client+python+programming&type=repositories
Database ORM Builder,python programming,intermediate,12,"sqlalchemy,alembic,pydantic",Build a database orm builder to practice python programming at the intermediate level.,https://github.com/search?q=Database+ORM+Builder+python+programming&type=repositories
File Processing Toolkit,python programming,beginner,7,"pathlib,pandas,click",Build a file processing toolkit to practice python programming at the beginner level.,https://github.com/search?q=File+Processing+Toolkit+python+programming&type=repositories
Config Management System,python programming,intermediate,10,"pydantic,dynaconf,toml",Build a config management system to practice python programming at the intermediate level.,https://github.com/search?q=Config+Management+System+python+programming&type=repositories
Data Validation Library,python programming,intermediate,12,"pydantic,pandera,great-expectations",Build a data validation library to practice python programming at the intermediate level.,https://github.com/search?q=Data+Validation+Library+python+programming&type=repositories
Caching Layer Decorator,python programming,intermediate,10,"redis,functools,asyncio",Build a caching layer decorator to practice python programming at the intermediate level.,https://github.com/search?q=Caching+Layer+Decorator+python+programming&type=repositories
Event-Driven Messaging System,python programming,advanced,18,"celery,rabbitmq,redis",Build an event-driven messaging system to practice python programming at the advanced level.,https://github.com/search?q=Event-Driven+Messaging+System+python&type=repositories
Testing Harness for ML,python programming,intermediate,12,"pytest,hypothesis,sklearn",Build a testing harness for ml to practice python programming at the intermediate level.,https://github.com/search?q=Testing+Harness+ML+python+programming&type=repositories
Customer Lifetime Value Query,sql for data science,intermediate,10,"sql,postgresql,window-functions",Build a customer lifetime value query to practice sql for data science at the intermediate level.,https://github.com/search?q=Customer+Lifetime+Value+SQL+data+science&type=repositories
Cohort Retention Analysis,sql for data science,intermediate,10,"sql,dbt,postgresql",Build a cohort retention analysis to practice sql for data science at the intermediate level.,https://github.com/search?q=Cohort+Retention+Analysis+SQL&type=repositories
Funnel Drop-off Report,sql for data science,beginner,7,"sql,pandas,postgresql",Build a funnel drop-off report to practice sql for data science at the beginner level.,https://github.com/search?q=Funnel+Drop-off+Report+SQL+data+science&type=repositories
Product Usage Analytics,sql for data science,beginner,6,"sql,postgresql,pandas",Build a product usage analytics tool to practice sql for data science at the beginner level.,https://github.com/search?q=Product+Usage+Analytics+SQL&type=repositories
Revenue Attribution Model,sql for data science,intermediate,12,"sql,dbt,bigquery",Build a revenue attribution model to practice sql for data science at the intermediate level.,https://github.com/search?q=Revenue+Attribution+Model+SQL&type=repositories
Inventory Turnover Report,sql for data science,beginner,6,"sql,pandas,postgresql",Build an inventory turnover report to practice sql for data science at the beginner level.,https://github.com/search?q=Inventory+Turnover+Report+SQL&type=repositories
Multi-Touch Attribution Query,sql for data science,advanced,16,"sql,dbt,bigquery",Build a multi-touch attribution query to practice sql for data science at the advanced level.,https://github.com/search?q=Multi-Touch+Attribution+SQL&type=repositories
User Journey Mapping,sql for data science,intermediate,12,"sql,dbt,window-functions",Build a user journey mapping tool to practice sql for data science at the intermediate level.,https://github.com/search?q=User+Journey+Mapping+SQL&type=repositories
Campaign Performance Report,sql for data science,beginner,7,"sql,pandas,postgresql",Build a campaign performance report to practice sql for data science at the beginner level.,https://github.com/search?q=Campaign+Performance+Report+SQL&type=repositories
SLA Breach Detection Query,sql for data science,advanced,14,"sql,postgresql,window-functions",Build an sla breach detection query to practice sql for data science at the advanced level.,https://github.com/search?q=SLA+Breach+Detection+SQL&type=repositories
Job Market EDA,data science,beginner,5,"pandas,seaborn,matplotlib",Build a job market eda to practice data science at the beginner level.,https://github.com/search?q=Job+Market+EDA+data+science&type=repositories
Climate Data Explorer,data science,beginner,6,"pandas,plotly,matplotlib",Build a climate data explorer to practice data science at the beginner level.,https://github.com/search?q=Climate+Data+Explorer+data+science&type=repositories
Mental Health Survey Analyser,data science,beginner,6,"pandas,seaborn,scipy",Build a mental health survey analyser to practice data science at the beginner level.,https://github.com/search?q=Mental+Health+Survey+Analyser+data+science&type=repositories
Sports Performance Explorer,data science,beginner,6,"pandas,plotly,seaborn",Build a sports performance explorer to practice data science at the beginner level.,https://github.com/search?q=Sports+Performance+Explorer+data+science&type=repositories
Food Nutrition Analyser,data science,beginner,5,"pandas,matplotlib,seaborn",Build a food nutrition analyser to practice data science at the beginner level.,https://github.com/search?q=Food+Nutrition+Analyser+data+science&type=repositories
Airbnb Market Report,data science,intermediate,10,"pandas,plotly,geopandas",Build an airbnb market report to practice data science at the intermediate level.,https://github.com/search?q=Airbnb+Market+Report+data+science&type=repositories
NYC Taxi Data Explorer,data science,beginner,7,"pandas,plotly,geopandas",Build an nyc taxi data explorer to practice data science at the beginner level.,https://github.com/search?q=NYC+Taxi+Data+Explorer+data+science&type=repositories
World Happiness EDA,data science,beginner,5,"pandas,seaborn,matplotlib",Build a world happiness eda to practice data science at the beginner level.,https://github.com/search?q=World+Happiness+EDA+data+science&type=repositories
Video Game Sales Explorer,data science,beginner,6,"pandas,plotly,seaborn",Build a video game sales explorer to practice data science at the beginner level.,https://github.com/search?q=Video+Game+Sales+Explorer+data+science&type=repositories
E-Commerce Basket Analyser,data science,intermediate,10,"pandas,mlxtend,plotly",Build an e-commerce basket analyser to practice data science at the intermediate level.,https://github.com/search?q=E-Commerce+Basket+Analyser+data+science&type=repositories
Credit Decision Explainer,explainable ai,intermediate,12,"shap,lime,xgboost",Build a credit decision explainer to practice explainable ai at the intermediate level.,https://github.com/search?q=Credit+Decision+Explainer+explainable+ai&type=repositories
Healthcare Model Auditor,explainable ai,advanced,20,"shap,fairlearn,sklearn",Build a healthcare model auditor to practice explainable ai at the advanced level.,https://github.com/search?q=Healthcare+Model+Auditor+explainable+ai&type=repositories
HR Algorithm Fairness Checker,explainable ai,intermediate,14,"aif360,fairlearn,sklearn",Build an hr algorithm fairness checker to practice explainable ai at the intermediate level.,https://github.com/search?q=HR+Algorithm+Fairness+Checker+explainable+ai&type=repositories
Insurance Model Inspector,explainable ai,intermediate,12,"shap,lime,sklearn",Build an insurance model inspector to practice explainable ai at the intermediate level.,https://github.com/search?q=Insurance+Model+Inspector+explainable+ai&type=repositories
Recruitment Bias Detector,explainable ai,advanced,18,"aif360,shap,fairlearn",Build a recruitment bias detector to practice explainable ai at the advanced level.,https://github.com/search?q=Recruitment+Bias+Detector+explainable+ai&type=repositories
Fraud Score Explainer,explainable ai,intermediate,12,"shap,lime,xgboost",Build a fraud score explainer to practice explainable ai at the intermediate level.,https://github.com/search?q=Fraud+Score+Explainer+explainable+ai&type=repositories
Loan Denial Justifier,explainable ai,intermediate,14,"shap,lime,sklearn",Build a loan denial justifier to practice explainable ai at the intermediate level.,https://github.com/search?q=Loan+Denial+Justifier+explainable+ai&type=repositories
Medical Diagnosis Interpreter,explainable ai,advanced,20,"captum,shap,pytorch",Build a medical diagnosis interpreter to practice explainable ai at the advanced level.,https://github.com/search?q=Medical+Diagnosis+Interpreter+explainable+ai&type=repositories
Marketing Model Auditor,explainable ai,intermediate,12,"shap,lime,sklearn",Build a marketing model auditor to practice explainable ai at the intermediate level.,https://github.com/search?q=Marketing+Model+Auditor+explainable+ai&type=repositories
Risk Score Transparency Tool,explainable ai,advanced,18,"shap,alibi,sklearn",Build a risk score transparency tool to practice explainable ai at the advanced level.,https://github.com/search?q=Risk+Score+Transparency+Tool+explainable+ai&type=repositories
Serverless Inference Pipeline,cloud computing,intermediate,16,"aws-lambda,sagemaker,docker",Build a serverless inference pipeline to practice cloud computing at the intermediate level.,https://github.com/search?q=Serverless+Inference+Pipeline+cloud+computing&type=repositories
Auto-Scaling Training Cluster,cloud computing,advanced,24,"kubernetes,sagemaker,terraform",Build an auto-scaling training cluster to practice cloud computing at the advanced level.,https://github.com/search?q=Auto+Scaling+Training+Cluster+cloud+computing&type=repositories
Multi-Cloud Data Sync,cloud computing,advanced,22,"gcp,aws,azure",Build a multi-cloud data sync system to practice cloud computing at the advanced level.,https://github.com/search?q=Multi+Cloud+Data+Sync+cloud+computing&type=repositories
Batch Prediction Service,cloud computing,intermediate,16,"vertex-ai,docker,fastapi",Build a batch prediction service to practice cloud computing at the intermediate level.,https://github.com/search?q=Batch+Prediction+Service+cloud+computing&type=repositories
Managed Feature Store,cloud computing,advanced,22,"feast,redis,vertex-ai",Build a managed feature store to practice cloud computing at the advanced level.,https://github.com/search?q=Managed+Feature+Store+cloud+computing&type=repositories
Cloud Cost Optimizer for ML,cloud computing,advanced,20,"gcp,aws,terraform",Build a cloud cost optimizer for ml to practice cloud computing at the advanced level.,https://github.com/search?q=Cloud+Cost+Optimizer+ML+cloud+computing&type=repositories
Distributed Hyperparameter Search,cloud computing,intermediate,18,"optuna,ray-tune,gcp",Build a distributed hyperparameter search to practice cloud computing at the intermediate level.,https://github.com/search?q=Distributed+Hyperparameter+Search+cloud+computing&type=repositories
Streaming Data Ingestion Pipeline,cloud computing,intermediate,16,"kafka,pubsub,dataflow",Build a streaming data ingestion pipeline to practice cloud computing at the intermediate level.,https://github.com/search?q=Streaming+Data+Ingestion+Pipeline+cloud+computing&type=repositories
Automated Model Deployment,cloud computing,advanced,22,"kubeflow,vertex-ai,docker",Build an automated model deployment to practice cloud computing at the advanced level.,https://github.com/search?q=Automated+Model+Deployment+cloud+computing&type=repositories
Cross-Region Replication Pipeline,cloud computing,advanced,20,"gcp,aws,terraform",Build a cross-region replication pipeline to practice cloud computing at the advanced level.,https://github.com/search?q=Cross-Region+Replication+Pipeline+cloud+computing&type=repositories
